From,To,Volume,Cost,P
1,117,7074.9,1.152919869,1
2,87,9662.5,1.307772829,1
3,74,7669,1.176693834,1
4,233,12173.8,1.638022641,1
5,165,2586.8,1.09157479,1
6,213,6576.6,1.137096075,1
7,253,7137.1,1.155145559,1
8,411,722.1,1.000047963,1
9,379,1187.032944,1.000350241,1
9,395,1050.467056,1.000214806,1
10,338,69.2,1.000000004,1
10,362,80.1,1.000000007,1
11,309,485.8,1.000009825,1
12,275,488.2,1.000010021,1
13,262,37,1,1
14,257,125.2,1.000000043,1
15,254,407.1,1.000004845,1
16,263,249,1.000000678,1
17,276,648.3,1.000031162,1
18,322,2185.8,1.00402678,1
18,348,683,1.000038388,1
19,364,746.9,1.000054899,1
19,380,291.1,1.000001267,1
20,397,503.6,1.000011346,1
21,412,1396.5,1.000670934,1
21,413,1245.3,1.000424241,1
22,414,619.8,1.000026033,1
22,415,904.6,1.000118125,1
23,416,1522.5,1.000947863,1
24,266,203.1,0.149068325,1
24,267,172.8,0.149068324,1
25,268,4694.9,0.149499345,1
25,269,3859.3,0.149265125,1
26,273,2660,0.149112737,1
26,274,315,0.149068332,1
27,302,314.2,0.149068332,1
27,303,233.5,0.149068326,1
28,303,1486.4,0.149072653,1
28,304,596.8,0.149068436,1
29,308,718.3,0.149068559,1
29,337,426.5,0.149068352,1
30,340,1804.7,0.149077734,1
30,341,1130.8,0.149069774,1
31,329,1563.5,0.149073624,1
31,330,2075.3,0.149084779,1
32,332,1395.2,0.149071685,1
32,333,662.7,0.149068494,1
33,337,803.1,0.149068692,1
33,361,980.1,0.149069142,1
34,369,3909.7,0.149275608,1
34,385,1412.5,0.149071854,1
35,373,1529.2,0.149073174,1
35,389,435.3,0.149068355,1
36,378,615.6,0.14906845,1
36,394,317.2,0.149068332,1
37,401,222.9,0.149068325,1
37,402,114.7,0.149068323,1
38,406,350.1,0.149068336,1
38,407,1161.7,0.149069939,1
39,266,18.3,1.459848485,1
39,267,24.2,1.459848485,1
40,268,34.1,1.320075758,1
40,269,13.3,1.320075758,1
41,273,342.5,1.000002427,1
41,274,55.3,1.000000002,1
42,302,387.8056767,1.00000399,1
42,303,252.2,1.000000714,1
43,303,5.6,1.540151515,1
43,304,12.1,1.540151515,1
44,308,229.2,1.000000487,1
44,337,32.2,3.000000001,1
45,340,0,1,1
45,341,0,1,1
46,329,320,1.00000185,1
46,330,736.3,1.000051848,1
47,332,143.1,0.920075826,1
47,333,0,0.940151515,1
48,337,107.2,1.000000023,1
48,361,17.4,1,1
49,369,81.8,1.000000008,1
49,385,95.5,1.000000015,1
50,373,288.6,1.000001224,1
50,389,275,1.000001009,1
51,378,20.8,1,1
51,394,0,1,1
52,401,2771.558749,1.010409085,1
52,402,956.1312664,1.00014743,1
53,406,1892.687496,1.08236894,1
53,407,923.3,1.059984357,1
54,56,1861.3,0.3334248,1
54,230,481.7,0.333333743,1
55,59,2691.353346,0.33373317,1
56,102,4415.8,0.336230927,1
57,54,2343,0.333562995,1
57,235,1287.8,0.333354293,1
58,137,2256.731266,0.333530993,1
58,145,3788.3,0.334902891,1
59,146,3371.253346,0.334317719,1
60,102,985.4,0.333340518,1
60,230,2013.2,0.333458517,1
61,136,3020.302248,0.333967497,1
62,2,13602.2,1.943886677,1
63,62,13602.2,3.174023402,1
64,63,6620.455187,0.603693687,1
64,189,162.1,0.333333346,1
65,64,6782.555187,0.390257732,1
66,65,6782.555187,0.256092204,1
67,66,5550.255187,0.287054457,1
67,260,0,0.5,1
68,67,5550.255187,1.848674195,1
69,68,5445.155187,0.285991398,1
69,258,735.5,0.502090749,1
70,69,6180.655187,1.521223975,1
71,70,6023.855187,0.292650506,1
71,255,2419.447184,0.744813762,1
72,71,8443.302372,0.349946719,1
73,72,2232.5,0.469464561,1
73,141,5436.5,0.349585736,1
74,73,7669,1.300994,1
75,3,5676.6,1.116345596,1
76,75,5676.6,1.153659434,1
77,76,1761.8,0.469066648,1
77,141,3073.892075,0.334994428,1
78,77,4835.692075,0.280935037,1
79,78,4565.092075,0.279223209,1
79,256,1227.2,0.516204388,1
80,79,5792.292075,1.495029165,1
81,80,4571.292075,0.279259183,1
81,259,56.6,0.500000073,1
82,81,4627.892075,1.800630475,1
83,82,4627.892075,0.279594427,1
83,261,942.1,0.505628067,1
84,83,5569.992075,0.241342722,1
85,84,5569.992075,0.367781064,1
86,85,4999.292075,0.564238909,1
86,189,4663.207925,0.342131235,1
87,86,9662.5,1.621011077,1
88,1,8328,1.210378931,1
89,88,8328,1.383233007,1
90,89,7777.3,0.328285212,1
90,293,726.5,0.501990278,1
91,90,8503.8,0.295890478,1
92,91,8503.8,0.408483607,1
93,92,4198.446952,0.355082427,1
93,183,1837.2,0.333545299,1
93,195,684.2448127,0.333337411,1
94,93,6719.891764,0.777280157,1
95,94,4821.744813,0.280839459,1
95,290,0,0.5,1
96,95,4821.744813,1.280585382,1
97,96,3992.444813,0.27648066,1
97,288,1925.1,0.598126073,1
98,97,5917.544813,0.664190975,1
99,98,5917.544813,0.291273118,1
99,283,0,0.5,1
100,99,5917.544813,0.419477423,1
101,100,5401.2,0.285564672,1
101,278,0,0.5,1
102,101,5401.2,0.811046937,1
103,59,679.9,0.333334961,1
103,61,3020.302248,0.333967497,1
103,237,2831.8,0.333823394,1
104,103,6532.002248,0.852941919,1
105,104,6532.002248,0.300315639,1
105,279,287.8,0.500049016,1
