From,To,Volume,Cost,P
1,290,1151.995,1.083333333,1
1,307,1094.114,1.083333333,1
1,316,0,1.083333333,1
2,302,0,1.666666667,1
2,304,0,1.666666667,1
3,301,0,1.083333333,1
3,306,5.038,1.083333333,1
4,301,0,1.083333333,1
4,306,0,1.083333333,1
5,298,593.426,0.5,1
5,299,24.119,0.5,1
5,310,100.938,1.083333333,1
6,424,1970.362,0.833333333,1
6,425,567.338,0.833333333,1
6,456,150.21,0.833333333,1
7,274,755.476,0.666666667,1
7,281,876.195,0.666666667,1
7,283,0,0.666666667,1
8,272,148.056,0.666666667,1
8,456,16.62,0.666666667,1
8,474,486.447,0.666666667,1
8,480,732.672,0.666666667,1
9,277,615.62,0.5,1
10,205,8.271,0.416666667,1
10,206,37.427,0.416666667,1
10,214,217.122,0.416666667,1
11,206,519.624,0.666666667,1
11,207,91.128,0.666666667,1
12,210,389.591,0.833333333,1
12,217,0,0.833333333,1
12,222,234.252,0.833333333,1
13,208,201.304,0.666666667,1
13,211,136.981,0.666666667,1
13,224,129.119,0.666666667,1
14,244,694.885,0.583333333,1
15,228,131.907,0.833333333,1
15,533,1526.203,0.833333333,1
15,538,616.457,0.833333333,1
16,601,464.283,1,1
16,602,182.317,1,1
17,597,19.848,0.666666667,1
17,608,114.416,0.666666667,1
17,621,10.752,0.666666667,1
18,914,110.38,0.916666667,1
18,937,177.169,0.916666667,1
18,938,491.183,0.916666667,1
18,946,375.708,0.916666667,1
19,617,806.376,0.833333333,1
19,919,29.984,0.833333333,1
19,931,401.568,0.833333333,1
20,916,616.927,0.75,1
21,915,599.938,0.5,1
21,943,556.252,0.5,1
22,831,492.589,1.166666667,1
23,823,1897.777134,1.083333333,1
23,835,368.221,1.083333333,1
23,836,1874.681827,1.083333333,1
23,839,415.0080394,1.083333333,1
24,827,486.313,1.166666667,1
24,838,1103.477,1.166666667,1
24,855,2479.562,1.166666667,1
25,821,2096.566,1.25,1
25,841,656.06,1.25,1
25,849,280.194,1.25,1
26,322,2375.599,0.666666667,1
26,844,219.653,0.666666667,1
26,851,635.845,0.666666667,1
27,317,766.047,0.666666667,1
27,333,329.717,0.666666667,1
27,824,2378.963,0.666666667,1
